"","weather","HOUR"
"1440","sunny",14
"1441","sunny",14
"1442","sunny",14
"1443","sunny",14
"1444","sunny",14
"1445","sunny",14
"1446","sunny",15
"1447","sunny",15
"1448","sunny",16
"1449","sunny",16
"1450","sunny",16
"1451","sunny",17
"1452","sunny",17
"1453","sunny",17
"1454","sunny",17
"1455","sunny",18
"1456","sunny",18
"1457","sunny",18
"1458","sunny",19
"1459","sunny",19
"1460","sunny",19
"1461","sunny",19
"1462","sunny",19
"1463","sunny",19
"1464","sunny",20
"1465","sunny",20
"1466","sunny",20
"1467","sunny",20
"1468","sunny",21
"1469","snow",22
"1470","snow",22
"1471","snow",22
"1472","snow",22
"1473","snow",22
"1474","snow",22
"1475","snow",22
"1476","snow",0
"1477","snow",0
"1478","snow",0
"1479","snow",0
"1480","snow",1
"1481","snow",1
"1482","snow",1
"1483","snow",2
"1484","snow",2
"1485","snow",3
"1486","snow",3
"1487","snow",4
"1488","snow",4
"1489","snow",4
"1490","snow",5
"1491","snow",6
"1492","snow",7
"1493","snow",7
"1494","snow",7
"1495","snow",8
"1496","snow",8
"1497","snow",9
"1498","snow",9
"1499","snow",9
"1500","snow",10
"1501","snow",10
"1502","snow",12
"1503","snow",13
"1504","snow",15
"1505","snow",20
"1506","snow",20
"1507","snow",21
"1508","snow",22
"1509","snow",0
